project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
7420,FINANCIALLY COMPLETED,PA,40155.00,40191.00,40908.00,41608.00,  0.800 ,  0.675 ,  0.125 ,1
7421,FINANCIALLY COMPLETED,CD,40155.00,40186.00,41455.00,41455.00,  0.500 ,  0.496 ,  0.004 ,1
7422,CANCELLED,RD,40157.00,40157.00,40999.00,41639.00,  0.500 ,  -   ,  0.500 ,
7423,FINANCIALLY COMPLETED,PA,40154.00,40154.00,40908.00,41364.00,  1.200 ,  0.774 ,  0.426 ,1
7424,FINANCIALLY COMPLETED,CD,40156.00,40240.00,41274.00,41820.00,  3.225 ,  3.165 ,  0.060 ,1
7425,FINANCIALLY COMPLETED,RD,40158.00,40158.00,40908.00,41455.00,  0.500 ,  0.300 ,  0.200 ,1
7426,FINANCIALLY COMPLETED,PP,40155.00,40353.00,40421.00,40877.00,  0.500 ,  0.474 ,  0.026 ,
7427,FINANCIALLY COMPLETED,CD,40157.00,40186.00,41274.00,41274.00,  1.000 ,  0.840 ,  0.160 ,1
7428,FINANCIALLY COMPLETED,RD,40158.00,40158.00,40694.00,41486.00,  0.800 ,  0.566 ,  0.234 ,1
7429,FINANCIALLY COMPLETED,PA,40158.00,40158.00,40268.00,40482.00,  0.100 ,  0.100 ,  0.000 ,1
7430,FINANCIALLY COMPLETED,PA,40157.00,40157.00,41639.00,42004.00,  12.000 ,  11.965 ,  0.035 ,1
7431,FINANCIALLY COMPLETED,CD,40157.00,40157.00,40999.00,41425.00,  3.150 ,  3.145 ,  0.005 ,1
7432,FINANCIALLY COMPLETED,PP,40154.00,40260.00,40482.00,40847.00,  1.165 ,  1.087 ,  0.078 ,
7433,ACTIVE,CD,40158.00,40158.00,41698.00,43343.00,  5.000 ,  4.463 ,  0.537 ,
7434,FINANCIALLY COMPLETED,CD,40157.00,40193.00,40999.00,42369.00,  1.000 ,  0.468 ,  0.532 ,0
7435,FINANCIALLY COMPLETED,CD,40158.00,40158.00,40543.00,40543.00,  0.200 ,  0.058 ,  0.142 ,1
7436,FINANCIALLY COMPLETED,RD,40161.00,40161.00,40755.00,41120.00,  0.200 ,  0.160 ,  0.040 ,1
7437,FINANCIALLY COMPLETED,CD,40158.00,40158.00,41455.00,42551.00,  1.600 ,  1.283 ,  0.317 ,
7438,FINANCIALLY COMPLETED,CD,40161.00,40186.00,40724.00,41090.00,  0.350 ,  0.312 ,  0.038 ,1
