project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
2985,FINANCIALLY COMPLETED,AD,35828.00,35838.00,,36707.00,  0.960 ,  0.931 ,  0.029 ,1
2986,FINANCIALLY COMPLETED,PP,35835.00,35968.00,36280.00,37710.00,  1.000 ,  0.954 ,  0.046 ,
2987,FINANCIALLY COMPLETED,AD,35835.00,35878.00,,36829.00,  0.400 ,  0.175 ,  0.225 ,1
2988,FINANCIALLY COMPLETED,AD,35838.00,35897.00,,37621.00,  0.950 ,  0.239 ,  0.711 ,1
2989,FINANCIALLY COMPLETED,AD,35845.00,35941.00,36616.00,37986.00,  0.950 ,  0.893 ,  0.057 ,1
2990,FINANCIALLY COMPLETED,AD,35849.00,35849.00,,36068.00,  0.150 ,  0.080 ,  0.070 ,
2991,FINANCIALLY COMPLETED,PP,35850.00,35850.00,,36799.00,  0.150 ,  0.142 ,  0.008 ,
2992,FINANCIALLY COMPLETED,AD,35860.00,35860.00,,36433.00,  0.065 ,  0.025 ,  0.040 ,
2993,FINANCIALLY COMPLETED,AD,35864.00,35864.00,,36738.00,  0.150 ,  0.013 ,  0.137 ,
2994,FINANCIALLY COMPLETED,AD,35864.00,35864.00,,36433.00,  0.130 ,  0.068 ,  0.062 ,
2995,FINANCIALLY COMPLETED,AD,35866.00,35919.00,,36891.00,  0.692 ,  0.688 ,  0.004 ,1
2996,FINANCIALLY COMPLETED,AD,35866.00,35919.00,,36891.00,  0.480 ,  0.477 ,  0.003 ,1
2997,FINANCIALLY COMPLETED,AD,35866.00,35919.00,,36525.00,  0.572 ,  0.454 ,  0.118 ,1
2998,FINANCIALLY COMPLETED,AD,35870.00,35914.00,,36769.00,  0.800 ,  0.789 ,  0.011 ,1
2999,FINANCIALLY COMPLETED,AD,35874.00,35929.00,,36799.00,  1.000 ,  0.786 ,  0.214 ,1
3000,FINANCIALLY COMPLETED,AD,35877.00,35881.00,36464.00,37621.00,  0.630 ,  0.455 ,  0.175 ,1
3001,FINANCIALLY COMPLETED,PP,35880.00,36013.00,37011.00,37529.00,  0.248 ,  0.244 ,  0.004 ,
3002,FINANCIALLY COMPLETED,AD,35880.00,35880.00,,36160.00,  0.165 ,  0.156 ,  0.009 ,
3003,FINANCIALLY COMPLETED,AD,35886.00,35886.00,,36250.00,  0.150 ,  0.138 ,  0.012 ,
3004,FINANCIALLY COMPLETED,AD,35888.00,35951.00,,37103.00,  1.000 ,  0.928 ,  0.072 ,1
3005,FINANCIALLY COMPLETED,PP,35899.00,35899.00,,36250.00,  0.150 ,  0.082 ,  0.068 ,
3006,FINANCIALLY COMPLETED,AD,35900.00,35921.00,,36341.00,  0.260 ,  0.255 ,  0.005 ,1
3007,FINANCIALLY COMPLETED,PP,35901.00,35901.00,,37195.00,  0.149 ,  0.148 ,  0.001 ,
3008,FINANCIALLY COMPLETED,AD,35902.00,35930.00,,36981.00,  0.900 ,  0.897 ,  0.003 ,1
3009,FINANCIALLY COMPLETED,PP,35905.00,35905.00,,36219.00,  0.150 ,  0.133 ,  0.017 ,
3010,FINANCIALLY COMPLETED,AD,35905.00,35905.00,,36280.00,  0.150 ,  0.126 ,  0.024 ,
3011,FINANCIALLY COMPLETED,AD,35920.00,35920.00,,36160.00,  0.115 ,  0.070 ,  0.045 ,
3012,FINANCIALLY COMPLETED,AD,35920.00,35920.00,,35976.00,  0.050 ,  0.028 ,  0.022 ,
3013,FINANCIALLY COMPLETED,AD,35920.00,35976.00,,37072.00,  0.605 ,  0.537 ,  0.068 ,1
3014,FINANCIALLY COMPLETED,AD,35922.00,36034.00,,36707.00,  0.530 ,  0.471 ,  0.059 ,1
3015,FINANCIALLY COMPLETED,AD,35922.00,35984.00,36068.00,37652.00,  0.995 ,  0.886 ,  0.109 ,1
3016,CANCELLED,PP,35922.00,,,36250.00,  0.900 ,  -   ,  0.900 ,
3017,FINANCIALLY COMPLETED,PP,35927.00,35941.00,,36769.00,  0.900 ,  0.827 ,  0.073 ,
3018,FINANCIALLY COMPLETED,PP,35928.00,35928.00,,36891.00,  0.150 ,  0.048 ,  0.102 ,
3019,FINANCIALLY COMPLETED,AD,35935.00,35998.00,,37256.00,  0.570 ,  0.115 ,  0.455 ,1
3020,FINANCIALLY COMPLETED,AD,35942.00,35942.00,,36830.00,  0.075 ,  0.044 ,  0.031 ,
3021,FINANCIALLY COMPLETED,PP,35942.00,36025.00,,37256.00,  0.975 ,  0.963 ,  0.012 ,
3022,FINANCIALLY COMPLETED,AD,35948.00,35969.00,,36784.00,  0.500 ,  0.495 ,  0.005 ,1
3023,FINANCIALLY COMPLETED,AD,35943.00,35996.00,,37621.00,  0.995 ,  0.509 ,  0.486 ,1
3024,FINANCIALLY COMPLETED,AD,35948.00,36012.00,37483.00,37483.00,  3.345 ,  3.286 ,  0.059 ,1
3025,FINANCIALLY COMPLETED,PP,35950.00,35968.00,,36464.00,  0.965 ,  0.953 ,  0.012 ,
3026,FINANCIALLY COMPLETED,AD,35950.00,35970.00,,37164.00,  1.694 ,  1.605 ,  0.088 ,1
3027,FINANCIALLY COMPLETED,AD,35954.00,36087.00,,36646.00,  0.938 ,  0.377 ,  0.561 ,1
3028,FINANCIALLY COMPLETED,AD,35955.00,36060.00,,36707.00,  0.500 ,  0.112 ,  0.388 ,1
3029,FINANCIALLY COMPLETED,AD,35956.00,35985.00,,36219.00,  0.450 ,  0.423 ,  0.027 ,1
3030,FINANCIALLY COMPLETED,PP,35957.00,35971.00,,37802.00,  1.500 ,  1.432 ,  0.068 ,
3031,FINANCIALLY COMPLETED,AD,35969.00,36094.00,,36707.00,  0.550 ,  0.320 ,  0.230 ,1
3032,FINANCIALLY COMPLETED,AD,35970.00,35970.00,,36525.00,  0.150 ,  0.098 ,  0.052 ,
3033,FINANCIALLY COMPLETED,PP,35970.00,35992.00,,36860.00,  0.570 ,  0.540 ,  0.030 ,
3034,FINANCIALLY COMPLETED,PP,35971.00,35979.00,,36830.00,  0.850 ,  0.825 ,  0.025 ,
3035,FINANCIALLY COMPLETED,AD,35975.00,36045.00,,36769.00,  0.470 ,  0.467 ,  0.003 ,1
3036,FINANCIALLY COMPLETED,PP,35976.00,36126.00,,36981.00,  0.966 ,  0.871 ,  0.095 ,1
3037,FINANCIALLY COMPLETED,PP,35978.00,36054.00,,37195.00,  0.750 ,  0.704 ,  0.046 ,
3038,FINANCIALLY COMPLETED,AD,35979.00,35979.00,,36326.00,  0.148 ,  0.146 ,  0.002 ,
3039,FINANCIALLY COMPLETED,PP,35983.00,35983.00,,36707.00,  0.150 ,  0.102 ,  0.049 ,
3040,FINANCIALLY COMPLETED,AD,35983.00,35983.00,,36191.00,  0.150 ,  0.119 ,  0.031 ,
3041,FINANCIALLY COMPLETED,AD,35985.00,36047.00,36799.00,39051.00,  4.500 ,  4.368 ,  0.132 ,
3042,FINANCIALLY COMPLETED,AD,35985.00,36047.00,36799.00,37680.00,  0.900 ,  0.861 ,  0.039 ,1
3043,FINANCIALLY COMPLETED,AD,35985.00,36047.00,,36677.00,  0.500 ,  0.469 ,  0.031 ,1
3044,FINANCIALLY COMPLETED,AD,35986.00,35986.00,,36160.00,  0.115 ,  0.099 ,  0.016 ,
3045,FINANCIALLY COMPLETED,AD,35986.00,35991.00,,37072.00,  1.000 ,  0.601 ,  0.399 ,1
3046,FINANCIALLY COMPLETED,AD,35992.00,36003.00,,37134.00,  1.200 ,  0.401 ,  0.799 ,1
3047,FINANCIALLY COMPLETED,PP,35996.00,36004.00,,36769.00,  0.800 ,  0.766 ,  0.034 ,
3048,FINANCIALLY COMPLETED,PP,35996.00,36010.00,36280.00,37164.00,  0.600 ,  0.576 ,  0.024 ,
3049,FINANCIALLY COMPLETED,PP,35997.00,36014.00,,36464.00,  0.540 ,  0.488 ,  0.052 ,1
3050,FINANCIALLY COMPLETED,PP,35998.00,36147.00,36311.00,37346.00,  0.600 ,  0.566 ,  0.034 ,
3051,FINANCIALLY COMPLETED,PP,36000.00,36021.00,,36403.00,  0.600 ,  0.386 ,  0.214 ,
3052,FINANCIALLY COMPLETED,AD,36005.00,36005.00,,36478.00,  0.137 ,  0.029 ,  0.108 ,
3053,FINANCIALLY COMPLETED,AD,36010.00,36010.00,,37042.00,  0.150 ,  0.021 ,  0.129 ,
3054,FINANCIALLY COMPLETED,PP,36021.00,36107.00,,37225.00,  0.880 ,  0.782 ,  0.098 ,1
3055,FINANCIALLY COMPLETED,PP,36025.00,36119.00,,36646.00,  0.800 ,  0.755 ,  0.045 ,
3056,FINANCIALLY COMPLETED,PP,36026.00,36062.00,,37072.00,  0.656 ,  0.542 ,  0.114 ,1
3057,FINANCIALLY COMPLETED,AD,36027.00,36027.00,,36677.00,  0.130 ,  0.102 ,  0.028 ,
3058,FINANCIALLY COMPLETED,PP,36027.00,36081.00,,36769.00,  0.700 ,  0.699 ,  0.001 ,
3059,FINANCIALLY COMPLETED,PP,36027.00,36084.00,36464.00,36646.00,  0.600 ,  0.595 ,  0.005 ,
3060,FINANCIALLY COMPLETED,AD,36027.00,36077.00,,36891.00,  0.787 ,  0.392 ,  0.395 ,1
3061,FINANCIALLY COMPLETED,AD,36034.00,36091.00,,37225.00,  0.600 ,  0.093 ,  0.507 ,1
3062,FINANCIALLY COMPLETED,AD,36038.00,36038.00,,37376.00,  0.150 ,  0.011 ,  0.139 ,
3063,FINANCIALLY COMPLETED,AD,36041.00,36091.00,,36830.00,  0.600 ,  0.600 ,  0.000 ,1
3064,FINANCIALLY COMPLETED,AD,36042.00,36042.00,,36341.00,  0.150 ,  0.100 ,  0.050 ,
3065,FINANCIALLY COMPLETED,AD,36048.00,36140.00,,36981.00,  0.600 ,  0.584 ,  0.016 ,1
3066,FINANCIALLY COMPLETED,AD,36048.00,36062.00,36799.00,37437.00,  0.700 ,  0.035 ,  0.665 ,1
3067,FINANCIALLY COMPLETED,AD,36049.00,36145.00,,36936.00,  0.500 ,  0.391 ,  0.109 ,1
3068,FINANCIALLY COMPLETED,AD,36053.00,36081.00,,36891.00,  0.850 ,  0.798 ,  0.052 ,1
3069,FINANCIALLY COMPLETED,AD,36054.00,36054.00,,36191.00,  0.099 ,  0.056 ,  0.043 ,
3070,FINANCIALLY COMPLETED,AD,36055.00,36105.00,,37102.00,  0.720 ,  0.708 ,  0.012 ,1
3071,FINANCIALLY COMPLETED,PP,36059.00,36117.00,,36707.00,  0.600 ,  0.587 ,  0.013 ,
3072,FINANCIALLY COMPLETED,AD,36060.00,36060.00,,37560.00,  0.150 ,  0.093 ,  0.057 ,
3073,FINANCIALLY COMPLETED,AD,36061.00,36082.00,,36981.00,  0.692 ,  0.677 ,  0.015 ,1
3074,FINANCIALLY COMPLETED,AD,36061.00,36061.00,,36584.00,  0.150 ,  0.058 ,  0.092 ,
3075,FINANCIALLY COMPLETED,PP,36061.00,36080.00,36311.00,36616.00,  0.830 ,  0.695 ,  0.135 ,
3076,FINANCIALLY COMPLETED,AD,36063.00,36063.00,,36433.00,  0.150 ,  0.027 ,  0.123 ,
3077,FINANCIALLY COMPLETED,PP,36063.00,36193.00,,36738.00,  0.598 ,  0.573 ,  0.026 ,
3078,FINANCIALLY COMPLETED,AD,36067.00,36104.00,37195.00,37195.00,  0.800 ,  0.516 ,  0.284 ,1
3079,FINANCIALLY COMPLETED,AD,36067.00,36194.00,37072.00,38168.00,  3.500 ,  3.167 ,  0.333 ,1
3080,FINANCIALLY COMPLETED,PP,36069.00,36103.00,,36891.00,  0.500 ,  0.442 ,  0.058 ,
3081,FINANCIALLY COMPLETED,PP,36069.00,36125.00,36341.00,38291.00,  0.998 ,  0.908 ,  0.090 ,
3082,FINANCIALLY COMPLETED,AD,36069.00,36207.00,,36769.00,  0.840 ,  0.614 ,  0.226 ,1
3083,FINANCIALLY COMPLETED,AD,36073.00,36073.00,,36707.00,  0.150 ,  0.024 ,  0.126 ,
3084,FINANCIALLY COMPLETED,PP,36073.00,36140.00,36250.00,36616.00,  0.600 ,  0.430 ,  0.170 ,
3085,FINANCIALLY COMPLETED,PP,36074.00,36186.00,36707.00,38046.00,  0.750 ,  0.715 ,  0.035 ,1
3086,FINANCIALLY COMPLETED,AD,36081.00,36168.00,,36891.00,  1.185 ,  1.130 ,  0.055 ,1
3087,FINANCIALLY COMPLETED,PP,36082.00,36153.00,,37621.00,  0.510 ,  0.500 ,  0.010 ,
3088,FINANCIALLY COMPLETED,PP,36083.00,36195.00,,36799.00,  0.890 ,  0.791 ,  0.099 ,
3089,FINANCIALLY COMPLETED,PP,36084.00,36104.00,,36646.00,  1.000 ,  0.210 ,  0.790 ,
3090,FINANCIALLY COMPLETED,AD,36087.00,36104.00,,37164.00,  0.800 ,  0.784 ,  0.016 ,1
3091,FINANCIALLY COMPLETED,AD,36091.00,36301.00,,38168.00,  0.505 ,  0.411 ,  0.094 ,
3092,FINANCIALLY COMPLETED,PP,36103.00,36103.00,,36371.00,  0.150 ,  0.065 ,  0.085 ,
3093,CANCELLED,AD,36109.00,36109.00,,36799.00,  0.150 ,  -   ,  0.150 ,
3094,FINANCIALLY COMPLETED,PP,36109.00,36140.00,,37422.00,  0.800 ,  0.793 ,  0.007 ,
3095,FINANCIALLY COMPLETED,AD,36109.00,36175.00,,36556.00,  0.570 ,  0.553 ,  0.017 ,1
3096,FINANCIALLY COMPLETED,AD,36110.00,36110.00,,36707.00,  0.150 ,  0.149 ,  0.001 ,1
3097,FINANCIALLY COMPLETED,PP,36115.00,36115.00,,36830.00,  0.150 ,  0.052 ,  0.098 ,
3098,FINANCIALLY COMPLETED,AD,36119.00,36529.00,,37437.00,  0.775 ,  0.685 ,  0.090 ,1
3099,FINANCIALLY COMPLETED,AD,36119.00,36191.00,,36646.00,  0.400 ,  0.331 ,  0.069 ,1
3100,FINANCIALLY COMPLETED,AD,36124.00,36153.00,,36830.00,  0.750 ,  0.139 ,  0.611 ,1
3101,FINANCIALLY COMPLETED,AD,36124.00,36124.00,,36616.00,  0.040 ,  0.019 ,  0.021 ,
3102,FINANCIALLY COMPLETED,PP,36125.00,36168.00,,37256.00,  1.000 ,  0.982 ,  0.018 ,
3103,FINANCIALLY COMPLETED,AD,36125.00,36165.00,,37437.00,  0.700 ,  0.002 ,  0.698 ,1
3104,FINANCIALLY COMPLETED,AD,36126.00,36457.00,,37195.00,  0.570 ,  0.407 ,  0.163 ,1
3105,FINANCIALLY COMPLETED,AD,36126.00,36175.00,,37072.00,  0.785 ,  0.725 ,  0.060 ,1
3106,FINANCIALLY COMPLETED,AD,36126.00,36205.00,,37256.00,  0.580 ,  0.519 ,  0.061 ,1
3107,FINANCIALLY COMPLETED,PP,36132.00,36165.00,,36965.00,  0.650 ,  0.636 ,  0.014 ,
3108,FINANCIALLY COMPLETED,AD,36137.00,36174.00,36891.00,37986.00,  1.200 ,  0.002 ,  1.198 ,1
3109,FINANCIALLY COMPLETED,AD,36137.00,36174.00,,37315.00,  0.300 ,  0.274 ,  0.026 ,1
3110,FINANCIALLY COMPLETED,AD,36137.00,36167.00,,37802.00,  1.000 ,  0.950 ,  0.050 ,1
3111,FINANCIALLY COMPLETED,AD,36136.00,36171.00,36341.00,37621.00,  0.500 ,  0.421 ,  0.079 ,1
3112,FINANCIALLY COMPLETED,AD,36137.00,36220.00,,36981.00,  0.500 ,  0.433 ,  0.067 ,1
3113,CANCELLED,AD,36139.00,,,36341.00,  1.000 ,  -   ,  1.000 ,
3114,FINANCIALLY COMPLETED,AD,36139.00,36192.00,36707.00,37437.00,  1.500 ,  1.395 ,  0.105 ,1
3115,FINANCIALLY COMPLETED,AD,36140.00,36290.00,36891.00,37620.00,  0.798 ,  0.798 ,  0.000 ,1
3116,FINANCIALLY COMPLETED,AD,36140.00,36167.00,,37072.00,  0.870 ,  0.155 ,  0.715 ,1
3117,FINANCIALLY COMPLETED,AD,36143.00,36181.00,,37256.00,  0.660 ,  0.153 ,  0.507 ,1
3118,FINANCIALLY COMPLETED,AD,36144.00,36165.00,,37621.00,  1.000 ,  0.406 ,  0.594 ,
3119,FINANCIALLY COMPLETED,AD,36144.00,36192.00,36585.00,37164.00,  0.800 ,  0.160 ,  0.640 ,1
3120,FINANCIALLY COMPLETED,AD,36144.00,36217.00,,36922.00,  0.600 ,  0.119 ,  0.481 ,1
3121,FINANCIALLY COMPLETED,PP,36144.00,36216.00,,36860.00,  0.600 ,  0.324 ,  0.276 ,0
3122,CANCELLED,AD,36144.00,36144.00,,,  0.150 ,  -   ,  0.150 ,
3123,FINANCIALLY COMPLETED,AD,36144.00,36193.00,,36707.00,  0.209 ,  0.209 ,  0.000 ,1
3124,FINANCIALLY COMPLETED,AD,36144.00,36144.00,,36707.00,  0.150 ,  0.149 ,  0.001 ,1
3125,FINANCIALLY COMPLETED,AD,36145.00,36194.00,36891.00,38898.00,  0.703 ,  0.688 ,  0.015 ,1
3126,FINANCIALLY COMPLETED,AD,36145.00,36199.00,,36981.00,  0.600 ,  0.569 ,  0.031 ,1
3127,FINANCIALLY COMPLETED,AD,36145.00,36199.00,,37118.00,  0.624 ,  0.564 ,  0.060 ,1
3128,FINANCIALLY COMPLETED,AD,36145.00,36217.00,37011.00,39752.00,  1.500 ,  1.438 ,  0.062 ,1
3129,FINANCIALLY COMPLETED,AD,36145.00,36395.00,36860.00,38352.00,  0.900 ,  0.401 ,  0.499 ,1
3130,FINANCIALLY COMPLETED,AD,36144.00,36778.00,36433.00,37970.00,  0.650 ,  0.641 ,  0.009 ,1
3131,FINANCIALLY COMPLETED,AD,36144.00,36144.00,,36891.00,  0.149 ,  0.148 ,  0.000 ,
3132,FINANCIALLY COMPLETED,PP,36151.00,36299.00,,37072.00,  0.800 ,  0.796 ,  0.004 ,
3133,FINANCIALLY COMPLETED,AD,36151.00,36308.00,,37195.00,  0.950 ,  0.941 ,  0.009 ,
3134,FINANCIALLY COMPLETED,AD,36151.00,36181.00,,37164.00,  0.850 ,  0.003 ,  0.847 ,1
3135,FINANCIALLY COMPLETED,AD,36151.00,36151.00,36311.00,36891.00,  0.132 ,  0.127 ,  0.005 ,
3136,FINANCIALLY COMPLETED,AD,36151.00,36151.00,,36311.00,  0.150 ,  0.012 ,  0.138 ,
3137,FINANCIALLY COMPLETED,PP,36151.00,36276.00,,37256.00,  0.600 ,  0.591 ,  0.009 ,
3138,FINANCIALLY COMPLETED,AD,36151.00,36180.00,,37376.00,  0.700 ,  0.652 ,  0.048 ,1
3139,FINANCIALLY COMPLETED,AD,36151.00,36173.00,,36769.00,  0.660 ,  0.560 ,  0.100 ,1
3140,FINANCIALLY COMPLETED,AD,36152.00,36152.00,,36280.00,  0.060 ,  0.042 ,  0.018 ,
3141,FINANCIALLY COMPLETED,PP,36152.00,36214.00,,37437.00,  1.000 ,  0.962 ,  0.038 ,
3142,FINANCIALLY COMPLETED,PP,36152.00,36206.00,,36738.00,  1.000 ,  0.003 ,  0.997 ,
3143,FINANCIALLY COMPLETED,AD,36152.00,36152.00,,36341.00,  0.150 ,  0.138 ,  0.012 ,1
3144,FINANCIALLY COMPLETED,PP,36152.00,36445.00,36464.00,37437.00,  0.500 ,  0.447 ,  0.053 ,
3145,FINANCIALLY COMPLETED,AD,36152.00,36264.00,,37621.00,  0.870 ,  0.793 ,  0.077 ,1
3146,FINANCIALLY COMPLETED,AD,36153.00,36222.00,,37072.00,  0.550 ,  0.550 ,  0.000 ,1
3147,FINANCIALLY COMPLETED,PP,36153.00,36182.00,36433.00,37864.00,  0.980 ,  0.969 ,  0.011 ,
3148,FINANCIALLY COMPLETED,AD,36157.00,36263.00,36585.00,37256.00,  2.400 ,  2.384 ,  0.016 ,1
3149,FINANCIALLY COMPLETED,AD,36158.00,36250.00,36464.00,37437.00,  2.465 ,  2.454 ,  0.011 ,1
3150,FINANCIALLY COMPLETED,AD,36160.00,36180.00,37072.00,38199.00,  0.985 ,  0.981 ,  0.004 ,1
3151,FINANCIALLY COMPLETED,PP,36160.00,36223.00,,36830.00,  0.500 ,  0.001 ,  0.499 ,
3152,FINANCIALLY COMPLETED,PP,36160.00,36270.00,,36769.00,  0.980 ,  0.969 ,  0.011 ,1
3153,FINANCIALLY COMPLETED,AD,36160.00,36160.00,,36403.00,  0.150 ,  0.128 ,  0.022 ,
3154,FINANCIALLY COMPLETED,AD,36160.00,36160.00,36912.00,37864.00,  0.150 ,  0.075 ,  0.075 ,
3155,FINANCIALLY COMPLETED,AD,36165.00,36165.00,,36433.00,  0.150 ,  0.070 ,  0.080 ,
3156,FINANCIALLY COMPLETED,AD,36168.00,36194.00,,36769.00,  0.400 ,  0.298 ,  0.102 ,1
3157,CANCELLED,AD,36174.00,,,36341.00,  2.250 ,  -   ,  2.250 ,
3158,FINANCIALLY COMPLETED,AD,36126.00,36313.00,39082.00,39082.00,  12.200 ,  4.636 ,  7.564 ,
3159,FINANCIALLY COMPLETED,AD,36179.00,36371.00,,37346.00,  0.861 ,  0.758 ,  0.103 ,1
3160,FINANCIALLY COMPLETED,AD,36187.00,36187.00,,36464.00,  0.140 ,  0.074 ,  0.066 ,
3161,FINANCIALLY COMPLETED,AD,36187.00,36201.00,,36799.00,  0.350 ,  0.224 ,  0.126 ,1
3162,FINANCIALLY COMPLETED,PP,36192.00,36237.00,,36707.00,  0.490 ,  0.489 ,  0.001 ,
3163,FINANCIALLY COMPLETED,AD,36192.00,36192.00,36464.00,37986.00,  0.144 ,  0.090 ,  0.054 ,
3164,FINANCIALLY COMPLETED,AD,36194.00,36194.00,,37256.00,  0.096 ,  0.008 ,  0.088 ,
3165,FINANCIALLY COMPLETED,AD,36194.00,36194.00,,36677.00,  0.074 ,  0.069 ,  0.005 ,
3166,FINANCIALLY COMPLETED,AD,36199.00,36199.00,,36707.00,  0.150 ,  0.017 ,  0.133 ,
3167,FINANCIALLY COMPLETED,AD,36207.00,36207.00,,37437.00,  0.150 ,  0.012 ,  0.138 ,
3168,FINANCIALLY COMPLETED,PP,36220.00,36308.00,36556.00,37256.00,  0.840 ,  0.734 ,  0.106 ,
3169,FINANCIALLY COMPLETED,AD,36227.00,36271.00,,36646.00,  0.616 ,  0.599 ,  0.017 ,1
3170,FINANCIALLY COMPLETED,AD,36234.00,36234.00,36341.00,37986.00,  0.147 ,  0.127 ,  0.020 ,
3171,FINANCIALLY COMPLETED,AD,36235.00,36235.00,,37072.00,  0.135 ,  0.020 ,  0.115 ,
3172,FINANCIALLY COMPLETED,AD,36237.00,36237.00,,36677.00,  0.018 ,  0.000 ,  0.018 ,1
3173,FINANCIALLY COMPLETED,PP,36242.00,36265.00,,36738.00,  0.908 ,  0.841 ,  0.067 ,
3174,FINANCIALLY COMPLETED,AD,36231.00,36231.00,,36525.00,  0.150 ,  0.026 ,  0.124 ,
3175,FINANCIALLY COMPLETED,AD,36244.00,36278.00,,37621.00,  2.000 ,  1.918 ,  0.082 ,1
3176,FINANCIALLY COMPLETED,AD,36244.00,36278.00,,37621.00,  1.000 ,  0.890 ,  0.110 ,1
3177,FINANCIALLY COMPLETED,AD,36244.00,36322.00,36556.00,37164.00,  0.496 ,  0.426 ,  0.071 ,1
3178,FINANCIALLY COMPLETED,AD,36244.00,36306.00,,37437.00,  0.460 ,  0.412 ,  0.048 ,1
3179,FINANCIALLY COMPLETED,AD,36244.00,36321.00,37316.00,37802.00,  1.540 ,  1.454 ,  0.086 ,1
3180,FINANCIALLY COMPLETED,AD,36248.00,36248.00,,36525.00,  0.100 ,  0.075 ,  0.025 ,
3181,FINANCIALLY COMPLETED,AD,36248.00,36248.00,,36891.00,  0.117 ,  0.071 ,  0.046 ,
3182,FINANCIALLY COMPLETED,AD,36249.00,36249.00,36646.00,38300.00,  0.150 ,  0.088 ,  0.062 ,
3183,FINANCIALLY COMPLETED,AD,36263.00,36263.00,37042.00,37986.00,  0.150 ,  0.118 ,  0.033 ,
3184,FINANCIALLY COMPLETED,PP,36264.00,36264.00,,37134.00,  0.190 ,  0.007 ,  0.184 ,
3185,FINANCIALLY COMPLETED,AD,36266.00,36375.00,36769.00,37103.00,  0.450 ,  0.425 ,  0.025 ,1
3186,FINANCIALLY COMPLETED,PP,36266.00,36266.00,36464.00,36677.00,  0.150 ,  0.120 ,  0.030 ,
3187,FINANCIALLY COMPLETED,PP,36273.00,36297.00,,36756.00,  0.350 ,  0.294 ,  0.056 ,
3188,FINANCIALLY COMPLETED,PP,36273.00,36273.00,,36372.00,  0.150 ,  0.124 ,  0.026 ,
3189,FINANCIALLY COMPLETED,PP,36277.00,36328.00,,36799.00,  0.650 ,  0.635 ,  0.015 ,
3190,FINANCIALLY COMPLETED,AD,36284.00,36291.00,,36799.00,  0.800 ,  0.795 ,  0.005 ,1
3191,FINANCIALLY COMPLETED,AD,36286.00,36322.00,,36860.00,  0.350 ,  0.302 ,  0.048 ,1
3192,FINANCIALLY COMPLETED,PP,36286.00,36286.00,,36311.00,  0.150 ,  0.078 ,  0.072 ,
3193,FINANCIALLY COMPLETED,PP,36290.00,36290.00,,36494.00,  0.100 ,  0.006 ,  0.094 ,
3194,FINANCIALLY COMPLETED,PP,36295.00,36369.00,,37072.00,  0.800 ,  0.689 ,  0.111 ,
3195,FINANCIALLY COMPLETED,AD,36294.00,36294.00,,36464.00,  0.150 ,  0.111 ,  0.039 ,
3196,FINANCIALLY COMPLETED,AD,36300.00,36300.00,,36799.00,  0.150 ,  0.137 ,  0.013 ,
3197,FINANCIALLY COMPLETED,AD,36300.00,36300.00,,37256.00,  0.150 ,  0.134 ,  0.016 ,
3198,FINANCIALLY COMPLETED,AD,36306.00,36306.00,,37072.00,  0.150 ,  0.135 ,  0.015 ,
3199,FINANCIALLY COMPLETED,AD,36311.00,36311.00,36403.00,38352.00,  0.250 ,  0.246 ,  0.004 ,1
3200,FINANCIALLY COMPLETED,AD,36315.00,36315.00,,36769.00,  0.150 ,  0.124 ,  0.026 ,1
3201,FINANCIALLY COMPLETED,AD,36320.00,36389.00,,36981.00,  0.450 ,  0.450 ,  0.000 ,1
3202,FINANCIALLY COMPLETED,AD,36320.00,36320.00,,36707.00,  0.150 ,  0.097 ,  0.053 ,
3203,FINANCIALLY COMPLETED,AD,36320.00,36320.00,,37164.00,  0.142 ,  0.138 ,  0.004 ,
3204,FINANCIALLY COMPLETED,AD,36320.00,36320.00,,37072.00,  0.124 ,  0.047 ,  0.077 ,
3205,FINANCIALLY COMPLETED,AD,36320.00,36350.00,,36860.00,  0.300 ,  0.262 ,  0.038 ,1
3206,FINANCIALLY COMPLETED,PP,36327.00,36333.00,,37468.00,  0.250 ,  0.233 ,  0.017 ,1
3207,FINANCIALLY COMPLETED,PP,36328.00,36356.00,,37011.00,  0.850 ,  0.812 ,  0.038 ,
3208,FINANCIALLY COMPLETED,AD,36328.00,36369.00,36616.00,38046.00,  0.220 ,  0.215 ,  0.005 ,1
3209,FINANCIALLY COMPLETED,AD,36328.00,36424.00,,36981.00,  0.500 ,  0.464 ,  0.036 ,
3210,FINANCIALLY COMPLETED,AD,36333.00,36349.00,,36891.00,  0.300 ,  0.282 ,  0.018 ,1
3211,FINANCIALLY COMPLETED,AD,36340.00,36599.00,,37407.00,  0.840 ,  0.815 ,  0.025 ,1
3212,FINANCIALLY COMPLETED,AD,36341.00,36369.00,,37134.00,  0.600 ,  0.581 ,  0.019 ,1
3213,FINANCIALLY COMPLETED,PP,36341.00,36400.00,,36891.00,  0.500 ,  0.476 ,  0.024 ,
3214,FINANCIALLY COMPLETED,AD,36342.00,36412.00,,36677.00,  0.400 ,  0.397 ,  0.003 ,1
3215,FINANCIALLY COMPLETED,PP,36342.00,36392.00,,37164.00,  1.000 ,  0.972 ,  0.028 ,
3216,FINANCIALLY COMPLETED,PP,36343.00,36394.00,,36707.00,  0.800 ,  0.762 ,  0.038 ,
